Record Length,16384
Sample Interval,CH1:0.0400000000000 CH2:0.0400000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,50.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-304.56000000000,-0.35600,0.00
-304.52000000000,-0.36400,0.00
-304.48000000000,-0.35200,0.00
-304.44000000000,-0.35600,0.00
-304.40000000000,-0.36000,0.00
-304.35997500000,-0.35600,0.00
-304.32000000000,-0.35600,0.00
-304.28000000000,-0.35600,0.00
-304.24000000000,-0.35600,0.00
-304.20000000000,-0.36000,0.00
-304.16000000000,-0.36000,0.00
-304.12000000000,-0.36400,0.00
-304.07997500000,-0.36400,0.00
-304.04000000000,-0.36400,0.00
-304.00000000000,-0.35600,0.00
-303.96000000000,-0.36800,0.00
-303.92002500000,-0.35600,0.00
-303.88000000000,-0.35600,0.00
-303.84000000000,-0.35600,0.00
-303.80000000000,-0.35200,0.00
-303.76000000000,-0.36400,0.00
-303.72000000000,-0.35600,0.00
-303.68000000000,-0.36000,0.00
-303.64002500000,-0.35600,0.00
-303.60000000000,-0.35200,0.00
-303.56000000000,-0.35600,0.00
-303.52000000000,-0.36400,0.00
-303.48000000000,-0.35600,0.00
-303.44000000000,-0.35600,0.00
-303.40000000000,-0.35600,0.00
-303.35997500000,-0.36400,0.00
-303.32000000000,-0.35600,0.00
-303.28000000000,-0.35600,0.00
-303.24000000000,-0.35600,0.00
-303.20000000000,-0.35600,0.00
-303.16000000000,-0.36400,0.00
-303.12000000000,-0.36400,0.00
-303.07997500000,-0.36400,0.00
-303.04000000000,-0.36400,0.00
-303.00000000000,-0.36400,0.00
-302.96000000000,-0.36000,0.00
-302.92002500000,-0.36000,0.00
-302.88000000000,-0.36400,0.00
-302.84000000000,-0.36000,0.00
-302.80000000000,-0.35200,0.00
-302.76000000000,-0.35600,0.00
-302.72000000000,-0.36400,0.00
-302.68000000000,-0.35200,0.00
-302.64002500000,-0.35200,0.00
-302.60000000000,-0.35200,0.00
-302.56000000000,-0.35600,0.00
-302.52000000000,-0.36000,0.00
-302.48000000000,-0.36400,0.00
-302.44000000000,-0.36400,0.00
-302.40000000000,-0.36000,0.00
-302.35997500000,-0.36400,0.00
-302.32000000000,-0.35600,0.00
-302.28000000000,-0.36000,0.00
-302.24000000000,-0.36000,0.00
-302.20000000000,-0.35600,0.00
-302.16000000000,-0.35600,0.00
-302.12000000000,-0.36400,0.00
-302.07997500000,-0.36400,0.00
-302.04000000000,-0.36400,0.00
-302.00000000000,-0.36400,0.00
-301.96000000000,-0.36000,0.00
-301.92002500000,-0.36400,0.00
-301.88000000000,-0.36400,0.00
-301.84000000000,-0.35600,0.00
-301.80000000000,-0.35600,0.00
-301.76000000000,-0.36000,0.00
-301.72000000000,-0.35200,0.00
